agent,source_file,ticker,company,event_date,session,entry_day,exit_day,direction_score,reversal_risk,direction_call,confidence,side,entry_price,exit_price,trade_return_pct,weight_in_agent_portfolio_pct,in_aggregate_portfolio
US1,US1-2026-06-13.json,AIOT,"Powerfleet, Inc.",2026-06-15,BMO,2026-06-12,2026-06-15,38.0,38,Lean Up,Medium,long,4.14,4.05,-2.174,40.0,True
US1,US1-2026-06-15.json,WLY,"John Wiley & Sons, Inc.",2026-06-16,BMO,2026-06-15,2026-06-16,36.0,33,Lean Up,Medium,long,43.6625,43.4,-0.601,40.0,True
US2,US2-2026-06-23.json,DAKT,"Daktronics, Inc.",2026-06-24,BMO,2026-06-23,2026-06-24,43.0,38,Lean Up,Medium,long,20.62,20.075,-2.643,40.0,True
US1,US1-2026-06-24.json,DRI,Darden Restaurants,2026-06-25,BMO,2026-06-24,2026-06-25,36.0,38,Lean Up,Medium,long,213.135,210.39,-1.288,40.0,True
US1,US1-2026-06-24.json,SNX,TD SYNNEX,2026-06-25,BMO,2026-06-24,2026-06-25,43.0,35,Lean Up,Medium,long,290.0,279.535,-3.609,40.0,True
US2,US2-2026-06-24.json,SNX,TD SYNNEX,2026-06-25,BMO,2026-06-24,2026-06-25,39.0,30,Lean Up,Medium,long,290.0,279.535,-3.609,40.0,False
US1,US1-2026-07-20-1907.json,HAS,Hasbro,2026-07-21,BMO,2026-07-20,2026-07-21,36.0,37,Lean Up,Medium-High,long,82.0075,88.16,7.502,33.33,True
US1,US1-2026-07-20-1907.json,SCHW,Charles Schwab,2026-07-21,BMO,2026-07-20,2026-07-21,42.0,33,Lean Up,Medium-High,long,102.2275,102.29,0.061,33.33,True
US1,US1-2026-07-20-1907.json,STLD,Steel Dynamics,2026-07-20,AMC,2026-07-20,2026-07-21,39.0,36,Lean Up,Medium-High,long,230.39,239.07,3.768,33.33,True
US2,US2-2026-07-20.json,HAS,Hasbro,2026-07-21,BMO,2026-07-20,2026-07-21,36.0,37,Lean Up,Medium-High,long,82.0075,88.16,7.502,20.0,False
US2,US2-2026-07-20.json,SCHW,Charles Schwab,2026-07-21,BMO,2026-07-20,2026-07-21,42.0,33,Lean Up,Medium-High,long,102.2275,102.29,0.061,20.0,False
US2,US2-2026-07-20.json,STLD,Steel Dynamics,2026-07-20,AMC,2026-07-20,2026-07-21,39.0,36,Lean Up,Medium-High,long,230.39,239.07,3.768,20.0,False
US2,US2-2026-07-20-1726.json,VMI,Valmont Industries,2026-07-21,BMO,2026-07-20,2026-07-21,42.0,36,Lean Up,Medium,long,529.99,522.195,-1.471,20.0,True
US2,US2-2026-07-20-1726.json,WRB,W. R. Berkley,2026-07-20,AMC,2026-07-20,2026-07-21,37.0,32,Lean Up,Medium,long,72.4025,71.475,-1.281,20.0,True
US2,US2-2026-07-21-1716.json,IBKR,Interactive Brokers,2026-07-21,AMC,2026-07-21,2026-07-22,42.0,38,Lean Up,Medium,long,94.935,93.7,-1.301,33.33,True
US2,US2-2026-07-21-1716.json,PM,Philip Morris International,2026-07-22,BMO,2026-07-21,2026-07-22,45.0,33,Lean Up,Medium,long,190.235,193.75,1.848,33.33,True
US2,US2-2026-07-21-1716.json,T,AT&T,2026-07-22,BMO,2026-07-21,2026-07-22,36.0,32,Lean Up,Medium,long,22.095,22.82,3.281,33.33,True
US1,US1-2026-07-22-1907.json,FCX,Freeport-McMoRan,2026-07-23,BMO,2026-07-22,2026-07-23,42.0,36,Lean Up,Medium,long,64.3898,63.515,-1.359,40.0,True
US2,US2-2026-07-22.json,BX,Blackstone,2026-07-23,BMO,2026-07-22,2026-07-23,38.0,32,Lean Up,Medium,long,122.725,124.05,1.08,40.0,True
US2,US2-2026-07-22.json,CMCSA,Comcast,2026-07-23,BMO,2026-07-22,2026-07-23,-39.0,35,Lean Down,Medium,short,23.7175,22.545,4.944,40.0,True
US1,US1-2026-07-27.json,CLS,Celestica,2026-07-27,AMC,2026-07-27,2026-07-28,49.0,38,Lean Up,Medium,long,303.1138,328.0,8.21,25.0,True
US1,US1-2026-07-27.json,GLW,Corning,2026-07-28,BMO,2026-07-27,2026-07-28,42.0,39,Lean Up,Medium,long,139.3125,121.02,-13.131,25.0,True
US1,US1-2026-07-27-1307.json,KO,Coca-Cola,2026-07-28,BMO,2026-07-27,2026-07-28,39.0,33,Lean Up,Medium,long,83.865,87.92,4.835,25.0,True
US1,US1-2026-07-27-1307.json,NUE,Nucor,2026-07-27,AMC,2026-07-27,2026-07-28,45.0,36,Lean Up,Medium,long,245.2675,254.0,3.56,25.0,True
US2,US2-2026-07-27-1718.json,CLS,Celestica,2026-07-27,AMC,2026-07-27,2026-07-28,43.0,39,Lean Up,Medium,long,303.1138,328.0,8.21,33.33,False
US2,US2-2026-07-27-1718.json,GLW,Corning,2026-07-28,BMO,2026-07-27,2026-07-28,37.0,37,Lean Up,Medium,long,139.3125,121.02,-13.131,33.33,False
US2,US2-2026-07-27-1718.json,UPS,United Parcel Service,2026-07-28,BMO,2026-07-27,2026-07-28,-40.0,38,Lean Down,Medium,short,113.1375,106.22,6.114,33.33,True
US1,US1-2026-07-28-1907.json,APH,Amphenol,2026-07-29,BMO,2026-07-28,2026-07-29,37.0,34,Lean Up,Medium,long,71.5975,75.175,4.997,25.0,True
US1,US1-2026-07-28.json,BSX,Boston Scientific,2026-07-29,BMO,2026-07-28,2026-07-29,37.0,36,Lean Up,Medium,long,46.505,46.46,-0.097,25.0,True
US1,US1-2026-07-28-1907.json,SOFI,SoFi Technologies,2026-07-29,BMO,2026-07-28,2026-07-29,43.0,38,Lean Up,Medium,long,16.643,15.52,-6.748,25.0,True
US1,US1-2026-07-28-1907.json,STX,Seagate Technology,2026-07-28,AMC,2026-07-28,2026-07-29,41.0,39,Lean Up,Medium,long,750.5325,786.85,4.839,25.0,True
US1,US1-2026-07-29.json,EME,EMCOR Group,2026-07-30,BMO,2026-07-29,2026-07-30,39.0,34,Lean Up,Medium,long,676.115,802.76,18.731,33.33,False
US1,US1-2026-07-29.json,PWR,Quanta Services,2026-07-30,BMO,2026-07-29,2026-07-30,36.0,38,Lean Up,Medium,long,563.355,644.88,14.471,33.33,True
US1,US1-2026-07-29.json,VLO,Valero Energy,2026-07-30,BMO,2026-07-29,2026-07-30,44.0,35,Lean Up,Medium,long,303.635,308.45,1.586,33.33,True
US2,US2-2026-07-29.json,EME,EMCOR Group,2026-07-30,BMO,2026-07-29,2026-07-30,42.0,33,Lean Up,Medium,long,676.115,802.76,18.731,40.0,True
US2,US2-2026-07-29.json,QCOM,Qualcomm,2026-07-29,AMC,2026-07-29,2026-07-30,38.0,37,Lean Up,Medium,long,160.6825,146.5,-8.826,40.0,True
US1,US1-2026-07-30-1702.json,CVX,Chevron,2026-07-31,BMO,2026-07-30,2026-07-31,38.0,36,Lean Up,Medium,long,191.3275,195.81,2.343,33.33,True
